N.,DESCRIPCION,Precio + IVA,,,,,,,,,,,,,,,,,,,,,,
88,CINTA METRICA M/ TOLSEN D/ 3MTS - 10 PIES ",36002,48.98,,,,,,,,,,,,,,,,,,,,,,
89,CINTA METRICA M/ TOLSEN D/ 8MTS - 26 PIES ",36005,120.06,,,,,,,,,,,,,,,,,,,,,,
90,CINTA METRICA M/ TOLSEN D/ 10MTS X 33 PIES ",36006,145.75,,,,,,,,,,,,,,,,,,,,,,
91,TAPE ELECTRICO M/ TOLSEN C/ ROJO D/ 30PIES ",38025,8.36,,,,,,,,,,,,,,,,,,,,,,
92,"ESPATULA M/ TOLSEN M/ PLASTICO D/ 3"" 80MM ",40015,29.27,,,,,,,,,,,,,,,,,,,,,,
93,"ESPATULA M/ TOLSEN M/ MADERA D/ 2"" - 50MM ",40002,19.71,,,,,,,,,,,,,,,,,,,,,,
94,"ESPATULA M/ TOLSEN M/ MADERA D/ 3"" - 80MM ",40004",20.91,,,,,,,,,,,,,,,,,,,,,,
95,"ESPATULA M/ TOLSEN M/ MADERA D/ 4"" - 100MM ",40005,22.70,,,,,,,,,,,,,,,,,,,,,,
96,"CUCHARA M/ TOLSEN P/ ALBAÑIL M/ MADERA D/ 6"" - 160MM ",41000,34.64,,,,,,,,,,,,,,,,,,,,,,
97,"CUCHARA M/ TOLSEN P/ ALBAÑIL M/ MADERA D/ 7"" - 180MM ",41001,44.80,,,,,,,,,,,,,,,,,,,,,,
98,"CUCHARA M/ TOLSEN P/ ALBAÑIL M/ MADERA D/ 8"" - 200MM ",41002,49.58,,,,,,,,,,,,,,,,,,,,,,
99,"CUCHARA M/ TOLSEN P/ ALBAÑIL M/ MADERA D/ 5"" - 130MM ",41008,31.66,,,,,,,,,,,,,,,,,,,,,,
100,PLANA M/ TOLSEN M/ MADERA D/ 280 X 120MM ",41012,78.25,,,,,,,,,,,,,,,,,,,,,,
101,PLANA M/ TOLSEN M/ PLASTICO C/ ESPONJA C/ NEGRO D/ 230 X 100 X 10MM ",41019,55.55,,,,,,,,,,,,,,,,,,,,,,
102,CORTADOR M/ TOLSEN P/ AZULEJOS T/ INDUSTRIAL D/ 600MM ",41032,705.44,,,,,,,,,,,,,,,,,,,,,,
103,"CUCHARA M/ TOLSEN M/ PLASTICO D/ 5"" ",41050,34.64,,,,,,,,,,,,,,,,,,,,,,
104,"REMACHE M/ TOLSEN D/ ALUMINIO D/ 4MM X 10MM ( 5/32"" X 3/8"" ) D/ 50 PCS ",43009,13.74,,,,,,,,,,,,,,,,,,,,,,
105,PORTA ELECTRODO M/ TOLSEN C/ NEGRO D/ 300A ,44930,173.22,,,,,,,,,,,,,,,,,,,,,,
106,PORTA ELECTRODO M/ TOLSEN C/ NEGRO D/ 500A ,44931,191.74,,,,,,,,,,,,,,,,,,,,,,
107,PORTA ELECTRODO M/ TOLSEN C/ BLANCO - NEGRO D/ 500A ,44933,163.07,,,,,,,,,,,,,,,,,,,,,,
108,TENAZA POLO A TIERRA M/ TOLSEN P/ SOLDAR D/ 300A ,44940,48.98,,,,,,,,,,,,,,,,,,,,,,
109,TENAZA POLO A TIERRA M/ TOLSEN P/ SOLDAR D/ 500A ,44941,70.48,,,,,,,,,,,,,,,,,,,,,,
110,MARTILLO M/ TOLSEN P/ SOLDADOR P/ QUITAR ESCORIA - CARBON D/ 300G ,44945,57.94,,,,,,,,,,,,,,,,,,,,,,
111,GUANTES M/ TOLSEN P/ JARDIN D/ POLISTER - ALGODON T/ 10 ( XL ) ,45006,133.80,,,,,,,,,,,,,,,,,,,,,,
112,GUANTES M/ TOLSEN P/ TRABAJO D/ POLISTER T/ 10 ( XL ) ,45010,267.00,,,,,,,,,,,,,,,,,,,,,,
113,GUANTES M/ TOLSEN P/ SOLDAR D/ CUERO C/ AMARILLO - NEGRO T/ 14 ,45026,135.00,,,,,,,,,,,,,,,,,,,,,,
114,GUANTES M/ TOLSEN T/ RESISTENTES AL CORTE NIVEL 5 T/ INDUSTRIAL T/ 9 ,45040,81.83,,,,,,,,,,,,,,,,,,,,,,
115,GUANTES M/ TOLSEN T/ RESISTENTES AL CORTE NIVEL 5 T/ INDUSTRIAL T/ 10 ,45041,81.83,,,,,,,,,,,,,,,,,,,,,,
116,GUANTES M/ TOLSEN P/ MECANICO C/ NEGRO T/ XL ,45047,272.98,,,,,,,,,,,,,,,,,,,,,,
117,LENTES D/ SEGURIDAD M/ TOLSEN C/ TRANSPARENTE ,45071,33.45,,,,,,,,,,,,,,,,,,,,,,
118,LENTES D/ SEGURIDAD M/ TOLSEN C/ TRANSPARENTE ,45072,38.23,,,,,,,,,,,,,,,,,,,,,,
119,LENTES D/ SEGURIDAD M/ TOLSEN C/ NEGRO ,45073,40.02,,,,,,,,,,,,,,,,,,,,,,
120,PROTECTOR D/ OÍDO M/ TOLSEN ,45081,3.58,,,,,,,,,,,,,,,,,,,,,,
121,CARETA P/ SOLDAR M/ TOLSEN D/ 108 X 50 X 3MM ,45086,123.65,,,,,,,,,,,,,,,,,,,,,,
122,CHALECO REFLECTIVO M/ TOLSEN C/ AMARILLO T/ XL ,45093,62.72,,,,,,,,,,,,,,,,,,,,,,
123,CHALECO REFLECTIVO M/ TOLSEN C/ AMARILLO T/ XXL ,45094,62.72,,,,,,,,,,,,,,,,,,,,,,
124,CAPOTE M/ TOLSEN D/ 1 PCS T/ M ,45096,167.85,,,,,,,,,,,,,,,,,,,,,,
125,CAPOTE M/ TOLSEN D/ 1 PCS T/ L ,45097,167.85,,,,,,,,,,,,,,,,,,,,,,
126,CAPOTE M/ TOLSEN D/ 1 PCS T/ XL ,45098,167.85,,,,,,,,,,,,,,,,,,,,,,
127,CHALECO REFLECTIVO M/ TOLSEN C/ AMARILLO T/ S ,45102,62.72,,,,,,,,,,,,,,,,,,,,,,
128,PROTECTOR M/ TOLSEN P/ RODILLAS ,45106,188.16,,,,,,,,,,,,,,,,,,,,,,
129,CHALECO REFLECTIVO M/ TOLSEN C/ ROJO T/ L ,45110,62.72,,,,,,,,,,,,,,,,,,,,,,
